mu,theta
0.1,0
0.101901901901902,0
0.103803803803804,0
0.105705705705706,0
0.107607607607608,0
0.10950950950951,0
0.111411411411411,0
0.113313313313313,0
0.115215215215215,0
0.117117117117117,0
0.119019019019019,0
0.120920920920921,0
0.122822822822823,0
0.124724724724725,0
0.126626626626627,0
0.128528528528529,0
0.13043043043043,0
0.132332332332332,0
0.134234234234234,0
0.136136136136136,0
0.138038038038038,0
0.13993993993994,0
0.141841841841842,0
0.143743743743744,0
0.145645645645646,0
0.147547547547548,0
0.149449449449449,0
0.151351351351351,0
0.153253253253253,0
0.155155155155155,0
0.157057057057057,0
0.158958958958959,0
0.160860860860861,0
0.162762762762763,0
0.164664664664665,0
0.166566566566567,0
0.168468468468468,0
0.17037037037037,0
0.172272272272272,0
0.174174174174174,0
0.176076076076076,0
0.177977977977978,0
0.17987987987988,0
0.181781781781782,0
0.183683683683684,0
0.185585585585586,0
0.187487487487488,0
0.189389389389389,0
0.191291291291291,0
0.193193193193193,0
0.195095095095095,0
0.196996996996997,0
0.198898898898899,0
0.200800800800801,0
0.202702702702703,0
0.204604604604605,0
0.206506506506507,0
0.208408408408408,0
0.21031031031031,0
0.212212212212212,0
0.214114114114114,0
0.216016016016016,0
0.217917917917918,0
0.21981981981982,0
0.221721721721722,0
0.223623623623624,0
0.225525525525526,0
0.227427427427427,0
0.229329329329329,0
0.231231231231231,0
0.233133133133133,0
0.235035035035035,0
0.236936936936937,0
0.238838838838839,0
0.240740740740741,0
0.242642642642643,0
0.244544544544545,0
0.246446446446446,0
0.248348348348348,0
0.25025025025025,0
0.252152152152152,0
0.254054054054054,0
0.255955955955956,0
0.257857857857858,0
0.25975975975976,0
0.261661661661662,0
0.263563563563564,0
0.265465465465465,0
0.267367367367367,0
0.269269269269269,0
0.271171171171171,0
0.273073073073073,0
0.274974974974975,0
0.276876876876877,0
0.278778778778779,0
0.280680680680681,0
0.282582582582583,0
0.284484484484484,0
0.286386386386386,0
0.288288288288288,0
0.29019019019019,0
0.292092092092092,0
0.293993993993994,0
0.295895895895896,0
0.297797797797798,0
0.2996996996997,0
0.301601601601602,0
0.303503503503504,0
0.305405405405405,0
0.307307307307307,0
0.309209209209209,0
0.311111111111111,0
0.313013013013013,0
0.314914914914915,0
0.316816816816817,0
0.318718718718719,0
0.320620620620621,0
0.322522522522523,0
0.324424424424424,0
0.326326326326326,0
0.328228228228228,0
0.33013013013013,0
0.332032032032032,0
0.333933933933934,0
0.335835835835836,0
0.337737737737738,0
0.33963963963964,0
0.341541541541542,0
0.343443443443443,0
0.345345345345345,0
0.347247247247247,0
0.349149149149149,0
0.351051051051051,0
0.352952952952953,0
0.354854854854855,0
0.356756756756757,0
0.358658658658659,0
0.360560560560561,0
0.362462462462462,0
0.364364364364364,0
0.366266266266266,0
0.368168168168168,0
0.37007007007007,0
0.371971971971972,0
0.373873873873874,0
0.375775775775776,0
0.377677677677678,0
0.37957957957958,0
0.381481481481481,0
0.383383383383383,0
0.385285285285285,0
0.387187187187187,0
0.389089089089089,0
0.390990990990991,0
0.392892892892893,0
0.394794794794795,0
0.396696696696697,0
0.398598598598599,0
0.4005005005005,0
0.402402402402402,0
0.404304304304304,0
0.406206206206206,0
0.408108108108108,0
0.41001001001001,0
0.411911911911912,0
0.413813813813814,0
0.415715715715716,0
0.417617617617618,0
0.419519519519519,0
0.421421421421421,0
0.423323323323323,0
0.425225225225225,0
0.427127127127127,0
0.429029029029029,0
0.430930930930931,0
0.432832832832833,0
0.434734734734735,0
0.436636636636637,0
0.438538538538539,0
0.44044044044044,0
0.442342342342342,0
0.444244244244244,0
0.446146146146146,0
0.448048048048048,0
0.44994994994995,0
0.451851851851852,0
0.453753753753754,0
0.455655655655656,0
0.457557557557558,0
0.459459459459459,0
0.461361361361361,0
0.463263263263263,0
0.465165165165165,0
0.467067067067067,0
0.468968968968969,0
0.470870870870871,0
0.472772772772773,0
0.474674674674675,0
0.476576576576577,0
0.478478478478478,0
0.48038038038038,0
0.482282282282282,0
0.484184184184184,0
0.486086086086086,0
0.487987987987988,0
0.48988988988989,0
0.491791791791792,0
0.493693693693694,0
0.495595595595596,0
0.497497497497497,0
0.499399399399399,0
0.501301301301301,0
0.503203203203203,0
0.505105105105105,0
0.507007007007007,0
0.508908908908909,0
0.510810810810811,0
0.512712712712713,0
0.514614614614615,0
0.516516516516517,0
0.518418418418418,0
0.52032032032032,0
0.522222222222222,0
